Account,Token Account,Quantity,Percentage
5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,E1WAxCSgEmRjj1716niPdk5dRr1hir2oEqD2D5sqrp1S,54942654.25893,5.49
9cNE6KBg2Xmf34FPMMvzDF8yUHMrgLRzBV3vD7b1JnUS,GK77zy6b96YqVBQbALfYAKJou17bBwj3dkdUERp3RVF7,38937023.2766,3.89
3v3zC12JeQyYtUepi3LFwCkZ134uqonCHhGgp3mhQdww,4U2r75ccjb7eVuoePryC1fKsdWNQoWf9W32kqXJfQj9J,21317102.379469,2.13
EgChkykgkPe9NWNHeG11qcg8vWvpMKwwBuzxoPYMe5KS,HRhwS9SHhJoB5Mcp1bt4VkvuigezSNrA6BrMdAdskVhz,20057291.80432,2.01
34qSTYsfmQcqjq9LvrLGavarD4f8T7wJaNDqzo91KgBb,EfJfa49eW9HFBFEszo9rrSN9bTmGYGy7Z3FifSANe5vc,19458021.858053,1.95
2GoUrG9JgdoS9oceThTwWR9gddDKwGq1tBJPZttvQSRh,BzCUMJGo5c26n81wLWNBeCswSBq1GCkxe5bpjVpScxAy,15096015.30498,1.51
5PAhQiYdLBd6SVdjzBQDxUAEFyDdF5ExNPQfcscnPRj5,VVGexbQqzy32fnkTWnjoipYLDa8dcS7KBXHkiSLhe2U,14182528.576007,1.42
4K5fh5nDNbWUoSEshHGkSrTXQd4J2VuLiM8qMSiGBMRQ,2tQYj5Dq9wpVRvkWgTU2aGE2NgEJLQ22uHaWVa7tj765,14114880.240363,1.41
9PTBBtRpeSn83HnYFEDBnJUw9vgFbaqYgggoJY7AmLms,AGyQpSu9v2GdBhn4SY7Su8ou1BdwHXMq6iYMBasdBeXr,13603557.873154,1.36
EiGwtmcMosdqMPVByU7v5gDMggcUiPF7SmxBJPModiUU,3P7a8rtmSTxsA7bCY4WvRYeSF8NpBYX7qwJo9UzJ8QJq,12210071.499248,1.22
oTBh2ZBA6mqsKbJEDUGde77WK9FcXepG8SteSaF7r5H,BtgL6iqRPfVW1LALvxpQAzWozhr3d7yvFTxFngBGZyLu,11728685.94306,1.17
6V3YLLvE2rzk9oMsjFQ6Wjg56wEKjdF2gXVUHX85j2KR,2X6VjvUcdNzyzapPM5YgX6BdRdKV3wsQDxki6Ge6j5Uf,11613528.006536,1.16
4uNk9hJzXg3hXW8juGTi73FCv9ix8gkvuN1NV3FfuXef,GHEwczSUXUQJj9XKG6VegAwZBnwL8K854VeZ26J9fAZw,11177519.279005,1.12
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,5FHSgPFJ1BpSz8xWwasHXLCKy1oBxR15bDSyBT1n2Wnu,11095530.223147,1.11
F7VX4JKFTdczzzACbwcFBGYG2LmPqryz7e9hSyAruYFt,C1QKzLeQsZwfo4iEAqtYb65gPJF5vSMjVFsBbeNbCGmC,8925623.820114,0.89
4cBUVfqcYo8MXmupHiLtgmyMZPbhXU77FeFcS1DDsh4d,AMRHU9AjgJdFDrovgLYc7FWt6YXvxF4Vzc1rXrPohxqB,8900000,0.89
2VDK1KP7FWdhtzQ3UGJ4VA3YAhwL4ghU7J1EWFiTEyBh,HkFTnjjCAr3egBMLNJDNHd9kym2NrhrkozgSQL5fFZJa,8737043.654039,0.87
BEUNH7uPUsfuQ4S8VxTzbLmGdD3Qq69BX87UXr9vtwRS,G45DuXNmEatxdAtDqiqYUP9rZBAV6CwhK2uHGdAGvZ3q,8102126.956491,0.81
D23x1vkKSbmRzrNGKbNtvkck5wf3ZcdPx5dcG9U18WNH,9V6tqwBvxzkTcqJ6QczGDPusfm7R67toLazRbUvkSkFN,8000000,0.80
jEisWvyQ4SffrAXFzFsNj6zYRNMRc44yh9puLdK36hL,2HLZ8NLtQS9nWv2xsAWLMB4j7epyre8nVHSKSTLXrPW2,7864450.944076,0.79
9TD9XQmY2P6BCiKYF6D1H5WggDNVWLWDwrD9SUdxA855,3L2YgPwWzMuQrJCAipb9f1ukVdnwjf21HaY7bQg2d4YD,7750656.836362,0.78
Hf7xp3bg5HDeXkVc6USUhETt6vWqMwdB5NqPabt7NrRu,6tiqgyru8nd7MfmZB5AGuVEBGim2Vx923BPEMtu8eqZf,7522201.905724,0.75
A7feW9BA2bqKbjs5nhgLtcf4iqvFh1MRBQbv6ohLgU9a,2qzVec3TNhTksPGWW6vF3LWkZsiWwwpbkRsUiwmh61qw,7010000.397433,0.70
EDT7QC6pWyV8wGFLZqVdTKYKmhz4WY2jCXYrvSmq2erh,C3PmFVhJDja8CEsYsGQq3m87VLwGsuvYVe2gLtjVtPV9,6862480.899851,0.69
5dDDSix4JDnGGRYxntQKpbnWzMyedu9euxy4Jc8D44yF,AKnZUAukAzSytox78fWhkcVvQEpoaM5tUoqYbxLYPTfT,6631220.389039,0.66
CLhLf4GoGr1YetJxEradZPpRuwenLnszUfuM4ySrvLSt,3ajfTAxvWZ6P4xnT6GBzg3DgGkPANkjg2gobiPx3Dhi7,6443959.588517,0.64
FWznbcNXWQuHTawe9RxvQ2LdCENssh12dsznf4RiouN5,9WNAozhfjgxQYjWqwWny3bcBg9nL3nCivHGrvBytfrd3,6442909.126144,0.64
5tJsxp9UjAZvV8k5ickdA18885nCHCRtpfvnytCMmy5i,2ifv3CUhnhUQXogLDfsUBVKxFqc23qDjNz49cjZ9djWo,6123486.626757,0.61
GkcuhETxCbq5PMLEXSB7xjqqRz5n79R2K34xBJKSM3os,8zLeGW7NdDJqx96XokW4kaPrMJHsyv85uwED4nABiV4r,6065809.423965,0.61
